Year,Month,Day,Hour,AirQualityStationEoICode,AirPollutant,Concentration
2013,6,16,0,CZ0TNUJ,PM10,13.0
2013,6,16,0,CZ0TNUJ,PM10,13.0
2013,6,17,0,CZ0TNUJ,PM10,25.0
2013,6,17,0,CZ0TNUJ,PM10,25.0
2013,6,18,0,CZ0TNUJ,PM10,28.0
2013,6,18,0,CZ0TNUJ,PM10,28.0
2013,6,19,0,CZ0TNUJ,PM10,38.0
2013,6,19,0,CZ0TNUJ,PM10,38.0
2013,6,20,0,CZ0TNUJ,PM10,32.0
2013,6,20,0,CZ0TNUJ,PM10,32.0
2013,6,21,0,CZ0TNUJ,PM10,29.0
2013,6,21,0,CZ0TNUJ,PM10,29.0
2013,6,22,0,CZ0TNUJ,PM10,29.0
2013,6,22,0,CZ0TNUJ,PM10,29.0
2013,6,23,0,CZ0TNUJ,PM10,24.0
2013,6,23,0,CZ0TNUJ,PM10,24.0
2013,6,24,0,CZ0TNUJ,PM10,14.0
2013,6,24,0,CZ0TNUJ,PM10,14.0
2013,6,25,0,CZ0TNUJ,PM10,2.0
2013,6,25,0,CZ0TNUJ,PM10,2.0
2013,6,26,0,CZ0TNUJ,PM10,10.0
2013,6,26,0,CZ0TNUJ,PM10,10.0
2013,6,27,0,CZ0TNUJ,PM10,19.0
2013,6,27,0,CZ0TNUJ,PM10,19.0
2013,6,28,0,CZ0TNUJ,PM10,21.0
2013,6,28,0,CZ0TNUJ,PM10,21.0
2013,6,29,0,CZ0TNUJ,PM10,26.0
2013,6,29,0,CZ0TNUJ,PM10,26.0
2013,6,30,0,CZ0TNUJ,PM10,15.0
2013,6,30,0,CZ0TNUJ,PM10,15.0
2013,7,1,0,CZ0TNUJ,PM10,18.0
2013,7,1,0,CZ0TNUJ,PM10,18.0
2013,7,2,0,CZ0TNUJ,PM10,21.0
2013,7,2,0,CZ0TNUJ,PM10,21.0
2013,7,9,0,CZ0TNUJ,PM10,25.0
2013,7,9,0,CZ0TNUJ,PM10,25.0
2013,7,10,0,CZ0TNUJ,PM10,31.0
2013,7,10,0,CZ0TNUJ,PM10,31.0
2013,7,11,0,CZ0TNUJ,PM10,12.0
2013,7,11,0,CZ0TNUJ,PM10,12.0
2013,7,12,0,CZ0TNUJ,PM10,10.0
2013,7,12,0,CZ0TNUJ,PM10,10.0
2013,7,13,0,CZ0TNUJ,PM10,12.0
2013,7,13,0,CZ0TNUJ,PM10,12.0
2013,7,14,0,CZ0TNUJ,PM10,17.0
2013,7,14,0,CZ0TNUJ,PM10,17.0
2013,7,15,0,CZ0TNUJ,PM10,15.0
2013,7,15,0,CZ0TNUJ,PM10,15.0
2013,7,16,0,CZ0TNUJ,PM10,20.0
2013,7,16,0,CZ0TNUJ,PM10,20.0
2013,7,17,0,CZ0TNUJ,PM10,24.0
2013,7,17,0,CZ0TNUJ,PM10,24.0
2013,7,18,0,CZ0TNUJ,PM10,28.0
2013,7,18,0,CZ0TNUJ,PM10,28.0
2013,7,19,0,CZ0TNUJ,PM10,24.0
2013,7,19,0,CZ0TNUJ,PM10,24.0
2013,7,20,0,CZ0TNUJ,PM10,18.0
2013,7,20,0,CZ0TNUJ,PM10,18.0
2013,7,21,0,CZ0TNUJ,PM10,13.0
2013,7,21,0,CZ0TNUJ,PM10,13.0
2013,7,22,0,CZ0TNUJ,PM10,22.0
2013,7,22,0,CZ0TNUJ,PM10,22.0
2013,7,23,0,CZ0TNUJ,PM10,24.0
2013,7,23,0,CZ0TNUJ,PM10,24.0
2013,7,24,0,CZ0TNUJ,PM10,23.0
2013,7,24,0,CZ0TNUJ,PM10,23.0
2013,7,25,0,CZ0TNUJ,PM10,30.0
2013,7,25,0,CZ0TNUJ,PM10,30.0
2013,7,26,0,CZ0TNUJ,PM10,25.0
2013,7,26,0,CZ0TNUJ,PM10,25.0
2013,7,27,0,CZ0TNUJ,PM10,27.0
2013,7,27,0,CZ0TNUJ,PM10,27.0
2013,7,28,0,CZ0TNUJ,PM10,34.0
2013,7,28,0,CZ0TNUJ,PM10,34.0
2013,7,29,0,CZ0TNUJ,PM10,30.0
2013,7,29,0,CZ0TNUJ,PM10,30.0
2013,7,30,0,CZ0TNUJ,PM10,16.0
2013,7,30,0,CZ0TNUJ,PM10,16.0
2013,7,31,0,CZ0TNUJ,PM10,15.0
2013,7,31,0,CZ0TNUJ,PM10,15.0
