Year,Month,Day,Hour,AirQualityStationEoICode,AirPollutant,Concentration
2013,4,3,0,CZ0TCEL,PM10,40.0
2013,4,3,0,CZ0TCEL,PM10,40.0
2013,4,4,0,CZ0TCEL,PM10,61.0
2013,4,4,0,CZ0TCEL,PM10,61.0
2013,4,5,0,CZ0TCEL,PM10,83.0
2013,4,5,0,CZ0TCEL,PM10,83.0
2013,4,6,0,CZ0TCEL,PM10,56.0
2013,4,6,0,CZ0TCEL,PM10,56.0
2013,4,7,0,CZ0TCEL,PM10,52.0
2013,4,7,0,CZ0TCEL,PM10,52.0
2013,4,8,0,CZ0TCEL,PM10,45.0
2013,4,8,0,CZ0TCEL,PM10,45.0
2013,4,9,0,CZ0TCEL,PM10,33.0
2013,4,9,0,CZ0TCEL,PM10,33.0
2013,4,10,0,CZ0TCEL,PM10,14.0
2013,4,10,0,CZ0TCEL,PM10,14.0
2013,4,11,0,CZ0TCEL,PM10,14.0
2013,4,11,0,CZ0TCEL,PM10,14.0
2013,4,12,0,CZ0TCEL,PM10,13.0
2013,4,12,0,CZ0TCEL,PM10,13.0
2013,4,13,0,CZ0TCEL,PM10,12.0
2013,4,13,0,CZ0TCEL,PM10,12.0
2013,4,14,0,CZ0TCEL,PM10,23.0
2013,4,14,0,CZ0TCEL,PM10,23.0
2013,4,15,0,CZ0TCEL,PM10,29.0
2013,4,15,0,CZ0TCEL,PM10,29.0
2013,4,16,0,CZ0TCEL,PM10,20.0
2013,4,16,0,CZ0TCEL,PM10,20.0
2013,4,17,0,CZ0TCEL,PM10,25.0
2013,4,17,0,CZ0TCEL,PM10,25.0
2013,4,18,0,CZ0TCEL,PM10,22.0
2013,4,18,0,CZ0TCEL,PM10,22.0
2013,4,19,0,CZ0TCEL,PM10,41.0
2013,4,19,0,CZ0TCEL,PM10,41.0
2013,4,20,0,CZ0TCEL,PM10,44.0
2013,4,20,0,CZ0TCEL,PM10,44.0
2013,4,21,0,CZ0TCEL,PM10,29.0
2013,4,21,0,CZ0TCEL,PM10,29.0
2013,4,22,0,CZ0TCEL,PM10,27.0
2013,4,22,0,CZ0TCEL,PM10,27.0
2013,4,23,0,CZ0TCEL,PM10,33.0
2013,4,23,0,CZ0TCEL,PM10,33.0
2013,4,24,0,CZ0TCEL,PM10,31.0
2013,4,24,0,CZ0TCEL,PM10,31.0
2013,4,25,0,CZ0TCEL,PM10,26.0
2013,4,25,0,CZ0TCEL,PM10,26.0
2013,4,26,0,CZ0TCEL,PM10,29.0
2013,4,26,0,CZ0TCEL,PM10,29.0
2013,4,27,0,CZ0TCEL,PM10,38.0
2013,4,27,0,CZ0TCEL,PM10,38.0
2013,4,28,0,CZ0TCEL,PM10,28.0
2013,4,28,0,CZ0TCEL,PM10,28.0
2013,4,29,0,CZ0TCEL,PM10,48.0
2013,4,29,0,CZ0TCEL,PM10,48.0
2013,4,30,0,CZ0TCEL,PM10,46.0
2013,4,30,0,CZ0TCEL,PM10,46.0
2013,5,1,0,CZ0TCEL,PM10,42.0
2013,5,1,0,CZ0TCEL,PM10,42.0
2013,5,2,0,CZ0TCEL,PM10,60.0
2013,5,2,0,CZ0TCEL,PM10,60.0
2013,5,3,0,CZ0TCEL,PM10,14.0
2013,5,3,0,CZ0TCEL,PM10,14.0
2013,5,4,0,CZ0TCEL,PM10,15.0
2013,5,4,0,CZ0TCEL,PM10,15.0
2013,5,5,0,CZ0TCEL,PM10,29.0
2013,5,5,0,CZ0TCEL,PM10,29.0
2013,5,6,0,CZ0TCEL,PM10,25.0
2013,5,6,0,CZ0TCEL,PM10,25.0
2013,5,7,0,CZ0TCEL,PM10,19.0
2013,5,7,0,CZ0TCEL,PM10,19.0
2013,5,8,0,CZ0TCEL,PM10,20.0
2013,5,8,0,CZ0TCEL,PM10,20.0
2013,5,9,0,CZ0TCEL,PM10,29.0
2013,5,9,0,CZ0TCEL,PM10,29.0
2013,5,10,0,CZ0TCEL,PM10,23.0
2013,5,10,0,CZ0TCEL,PM10,23.0
2013,5,11,0,CZ0TCEL,PM10,8.0
2013,5,11,0,CZ0TCEL,PM10,8.0
2013,5,12,0,CZ0TCEL,PM10,10.0
2013,5,12,0,CZ0TCEL,PM10,10.0
2013,5,13,0,CZ0TCEL,PM10,11.0
2013,5,13,0,CZ0TCEL,PM10,11.0
2013,5,14,0,CZ0TCEL,PM10,14.0
2013,5,14,0,CZ0TCEL,PM10,14.0
2013,5,15,0,CZ0TCEL,PM10,18.0
2013,5,15,0,CZ0TCEL,PM10,18.0
2013,5,16,0,CZ0TCEL,PM10,14.0
2013,5,16,0,CZ0TCEL,PM10,14.0
2013,5,17,0,CZ0TCEL,PM10,26.0
2013,5,17,0,CZ0TCEL,PM10,26.0
2013,5,18,0,CZ0TCEL,PM10,10.0
2013,5,18,0,CZ0TCEL,PM10,10.0
2013,5,19,0,CZ0TCEL,PM10,16.0
2013,5,19,0,CZ0TCEL,PM10,16.0
2013,5,20,0,CZ0TCEL,PM10,13.0
2013,5,20,0,CZ0TCEL,PM10,13.0
2013,5,21,0,CZ0TCEL,PM10,8.0
2013,5,21,0,CZ0TCEL,PM10,8.0
2013,5,22,0,CZ0TCEL,PM10,9.0
2013,5,22,0,CZ0TCEL,PM10,9.0
2013,5,23,0,CZ0TCEL,PM10,23.0
2013,5,23,0,CZ0TCEL,PM10,23.0
2013,5,24,0,CZ0TCEL,PM10,29.0
2013,5,24,0,CZ0TCEL,PM10,29.0
2013,5,25,0,CZ0TCEL,PM10,14.0
